Cmax,Tmax,AUC_0_24,AUC_0_inf,HalfLife,Vd_F,Cl_F,Organ,Dose_mgkg,Animal_ID
6.853429,2.0,21.9537315,22.2821182973815,5.0919507569705384,,,Brain,344,344 mg/kg-1
5.444653,2.0,27.483200500000002,27.863284990194764,5.423440985508865,,,Brain,344,344 mg/kg-2
7.171425,8.0,77.8315225,78.06635176439107,3.9130524443020533,,,Brain,344,344 mg/kg-3
9.511523,0.5,16.549792,16.735817076182013,4.336688429321296,,,Brain,344,344 mg/kg-4
10.837522,8.0,114.08923925,114.17859221876502,3.0509733189225723,,,Brain,344,344 mg/kg-5
4.735716,2.0,20.81404525,20.968588565111265,3.7651141662423577,,,Brain,344,344 mg/kg-6
3.319069,2.0,26.47717425,26.66051018414857,3.944708547273163,,,Heart,344,344 mg/kg-1
9.32678,2.0,29.82736425,30.03981268381725,3.999729280354298,,,Heart,344,344 mg/kg-2
3.971812,2.0,26.89586125,27.07146181745616,3.7151894950541573,,,Heart,344,344 mg/kg-3
40.43258,0.5,178.0488795,178.2237426414208,2.9503406226498288,,,Heart,344,344 mg/kg-4
3.330397,1.0,34.666803,34.75604559197383,3.0853534347110965,,,Heart,344,344 mg/kg-5
16.053787,2.0,58.20405925,58.228927921805614,2.3452584688885754,,,Heart,344,344 mg/kg-6
42.150289,2.0,92.33313799999999,92.56562584868566,4.443018936612032,,,Kidney,344,344 mg/kg-1
34.188206,2.0,129.33851375,129.61401326220548,4.077242081537056,,,Kidney,344,344 mg/kg-2
7.67868,1.0,51.84135475,51.94816100642322,2.779204726552962,,,Kidney,344,344 mg/kg-3
21.366162,0.5,87.63618675000001,87.70281931328255,2.1706068884659278,,,Kidney,344,344 mg/kg-4
5.571966,2.0,40.11715825,40.30574150917411,3.073283201216403,,,Kidney,344,344 mg/kg-5
30.494614,2.0,114.93227925,115.17049474597556,3.740195243191107,,,Kidney,344,344 mg/kg-6
15.676828,2.0,65.441873,67.72528839939969,6.710803248425097,,,Liver,344,344 mg/kg-1
