Organ,Dose_mgkg,Cmax_mean,Cmax_sem,Tmax_mean,Tmax_sem,AUC0_24_mean,AUC0_24_sem,HalfLife_mean,HalfLife_sem,Vd_F_mean,Vd_F_sem,Cl_F_mean,Cl_F_sem
Brain,344,7.4257,0.9582,3.7500,1.3647,46.4536,16.4021,4.2635,0.3596,,,,
Brain,688,13.9516,2.8131,4.5000,1.5811,78.7542,12.2773,4.4577,0.7430,,,,
Brain,1375,42.4875,7.7361,6.0000,1.2649,272.2796,73.2768,inf,,,,,
Heart,344,12.7391,5.8983,1.5833,0.2713,59.0200,24.2932,3.3401,0.2676,,,,
Heart,688,13.3888,4.5350,3.6667,1.3824,87.4934,25.3655,inf,,,,,
Heart,1375,28.5429,5.8613,3.2500,1.5207,147.4970,43.7403,inf,,,,,
Kidney,344,23.5750,6.0201,1.5833,0.2713,86.0331,14.1776,3.3806,0.3495,,,,
Kidney,688,54.1527,12.5272,4.7500,1.4705,439.9397,157.8816,21.8691,17.0073,,,,
Kidney,1375,150.3117,22.9850,5.0833,1.3809,945.8470,307.3631,inf,,,,,
Liver,344,51.7468,25.6124,1.9167,0.4902,93.3445,13.6887,6.9367,2.2861,,,,
Liver,688,101.3033,19.9576,3.5000,1.4491,729.5856,180.8808,inf,,,,,
Liver,1375,209.0853,20.8611,3.8333,1.3271,1423.8154,406.2206,inf,,,,,
Plasma,344,0.0033,0.0019,2.0833,0.6379,0.0108,0.0070,inf,,8182.5126,4098.5281,598.9428,235.8613
Plasma,688,0.0186,0.0137,3.0000,1.5811,0.0140,0.0084,inf,,100905.4753,56999.4822,21614.5142,573.6593
Plasma,1375,0.0821,0.0800,2.0833,1.2070,0.0699,0.0657,inf,,76992.1832,34113.0355,3275.3271,448.4126
